Month,"Coal Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Distillate Fuel Oil Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Residual Fuel Oil Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Other Petroleum Liquids Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Petroleum Coke Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Total Petroleum Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Wood Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector","Other Consumption for Electricity Generation and Useful Thermal Output, Electric Power Sector"
1973-01-01,34556.608,5607.498,50195.352,Not Available,41.67,56011.2,224.1,Not Available,0.054,0.157,Not Available
1973-02-01,30896.808,4877.895,42121.205,Not Available,34.472,47171.46,215.505,Not Available,0.157,0.144,Not Available
1973-03-01,30724.955,2774.787,39928.182,Not Available,27.042,42838.179,257.568,Not Available,0.186,0.176,Not Available
1973-04-01,29170.498,2418.35,33431.084,Not Available,42.319,36061.029,269.228,Not Available,0.066,0.174,Not Available
1973-05-01,29628.759,2249.309,35838.834,Not Available,54.444,38360.363,319.237,Not Available,0.048,0.21,Not Available
1973-06-01,31901.675,4224.51,42185.799,Not Available,55.478,46687.699,372.999,Not Available,0.039,0.176,Not Available
1973-07-01,34820.561,4649.272,46684.953,Not Available,48.77,51578.075,424.563,Not Available,0.04,0.17,Not Available
1973-08-01,36045.285,5998.986,49366.644,Not Available,53.901,55635.135,420.584,Not Available,0.157,0.184,Not Available
1973-09-01,32792.659,3375.496,44832.192,Not Available,37.742,48396.398,355.186,Not Available,0.207,0.178,Not Available
1973-10-01,32443.211,3473.83,44714.75,Not Available,33.128,48354.22,329.418,Not Available,0.193,0.2,Not Available
1973-11-01,32133.008,3626.211,42821.102,Not Available,28.209,46588.358,253.371,Not Available,0.095,0.151,Not Available
1973-12-01,34097.576,3781.955,41069.641,Not Available,49.539,45099.291,218.411,Not Available,0.113,0.135,Not Available
1974-01-01,34546.945,4333.595,42397.209,Not Available,59.47,47028.154,220.551,Not Available,0.111,0.152,Not Available
1974-02-01,30815.417,4343.912,36318.552,Not Available,48.231,40903.619,203.255,Not Available,0.039,0.142,Not Available
1974-03-01,31593.743,4405.469,35232.242,Not Available,50.861,39892.016,255.601,Not Available,0.036,0.148,Not Available
1974-04-01,29647.422,3933.084,32025.339,Not Available,35.668,36136.763,260.121,Not Available,0.108,0.142,Not Available
1974-05-01,31676.372,4540.674,36280.324,Not Available,30.375,40972.873,307.547,Not Available,0.116,0.129,Not Available
1974-06-01,31699.986,3968.153,37270.564,Not Available,26.013,41368.782,347.802,Not Available,0.1,0.179,Not Available
1974-07-01,36088.579,6000.925,44167.505,Not Available,31.055,50323.705,405.425,Not Available,0.005,0.208,Not Available
1974-08-01,35531.108,4799.718,44194.653,Not Available,31.95,49154.121,382.629,Not Available,0.031,0.189,Not Available
1974-09-01,30958.435,3819.637,40763.84,Not Available,30.208,44734.517,314.007,Not Available,0.121,0.183,Not Available
1974-10-01,32034.019,3886.284,41380.408,Not Available,96.363,45748.507,299.416,Not Available,0.018,0.156,Not Available
1974-11-01,32119.598,4535.759,44027.642,Not Available,98.497,49055.886,239.721,Not Available,0.019,0.155,Not Available
1974-12-01,35099.176,4560.538,49087.477,Not Available,86.328,54079.655,207.353,Not Available,0.011,0.119,Not Available
1975-01-01,35832.501,5281.495,48766.94,Not Available,10.956,54103.215,205.095,Not Available,0.008,0.14,Not Available
1975-02-01,32091.315,3726.647,39817.992,Not Available,8.06,43584.939,188.929,Not Available,0.011,0.113,Not Available
1975-03-01,32789.104,2985.276,37429.611,Not Available,4.199,40435.882,211.184,Not Available,0.006,0.124,Not Available
1975-04-01,30543.039,2322.65,34714.557,Not Available,4.249,37058.452,214.252,Not Available,0.002,0.117,Not Available
1975-05-01,30570.793,3262.347,33723.409,Not Available,2.845,36999.981,275.097,Not Available,0.009,0.173,Not Available
1975-06-01,33450.798,4114.025,36828.74,Not Available,6.055,40973.04,307.901,Not Available,0.028,0.193,Not Available
